Id,Location,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,Torgersen,5.1,3.5,1.4,0.2,Iris-setosa
2,Torgersen,4.9,3,1.4,0.2,Iris-setosa
3,Torgersen,4.7,3.2,1.3,0.2,Iris-setosa
4,Torgersen,4.6,3.1,1.5,0.2,Iris-setosa
5,Torgersen,5,3.6,1.4,0.2,Iris-setosa
6,Torgersen,5.4,3.9,1.7,0.4,Iris-setosa
7,Torgersen,4.6,3.4,1.4,0.3,Iris-setosa
8,Torgersen,5,3.4,1.5,0.2,Iris-setosa
9,Torgersen,4.4,2.9,1.4,0.2,Iris-setosa
10,Torgersen,4.9,3.1,1.5,0.1,Iris-setosa
11,Torgersen,5.4,3.7,1.5,0.2,Iris-setosa
12,Torgersen,4.8,3.4,1.6,0.2,Iris-setosa
13,Torgersen,4.8,3,1.4,0.1,Iris-setosa
14,Torgersen,4.3,3,1.1,0.1,Iris-setosa
15,Torgersen,5.8,4,1.2,0.2,Iris-setosa
16,Torgersen,5.7,4.4,1.5,0.4,Iris-setosa
17,Torgersen,5.4,3.9,1.3,0.4,Iris-setosa
18,Torgersen,5.1,3.5,1.4,0.3,Iris-setosa
19,Torgersen,5.7,3.8,1.7,0.3,Iris-setosa
20,Torgersen,5.1,NA,1.5,0.3,Iris-setosa
21,Torgersen,5.4,3.4,1.7,0.2,Iris-setosa
22,Torgersen,5.1,3.7,1.5,0.4,Iris-setosa
23,Torgersen,4.6,3.6,1,0.2,Iris-setosa
24,Torgersen,5.1,3.3,1.7,0.5,Iris-setosa
25,Torgersen,4.8,3.4,1.9,0.2,Iris-setosa
26,Torgersen,5,3,1.6,0.2,Iris-setosa
27,Torgersen,5,3.4,1.6,0.4,Iris-setosa
28,Torgersen,5.2,NA,1.5,0.2,Iris-setosa
29,Torgersen,5.2,3.4,1.4,0.2,Iris-setosa
30,Torgersen,4.7,3.2,1.6,0.2,Iris-setosa
31,Torgersen,4.8,3.1,1.6,0.2,Iris-setosa
32,Torgersen,5.4,3.4,1.5,0.4,Iris-setosa
33,Torgersen,5.2,4.1,1.5,0.1,Iris-setosa
34,Torgersen,5.5,4.2,1.4,0.2,Iris-setosa
35,Torgersen,4.9,3.1,1.5,0.1,Iris-setosa
36,Torgersen,5,3.2,1.2,0.2,Iris-setosa
37,Torgersen,5.5,3.5,1.3,0.2,Iris-setosa
38,Torgersen,4.9,3.1,1.5,0.1,Iris-setosa
39,Torgersen,4.4,3,1.3,0.2,Iris-setosa
40,Torgersen,5.1,3.4,1.5,0.2,Iris-setosa
41,Torgersen,5,3.5,1.3,0.3,Iris-setosa
42,Torgersen,4.5,NA,1.3,0.3,Iris-setosa
43,Torgersen,4.4,3.2,1.3,0.2,Iris-setosa
44,Torgersen,5,0,1.6,0.6,Iris-setosa
45,Torgersen,5.1,3.8,1.9,0.4,Iris-setosa
46,Torgersen,4.8,3,1.4,NA,Iris-setosa
47,Torgersen,5.1,3.8,1.6,0.2,Iris-setosa
48,Torgersen,4.6,3.2,1.4,0.2,Iris-setosa
49,Torgersen,5.3,3.7,1.5,0.2,Iris-setosa
50,Torgersen,NA,3.3,1.4,0.2,Iris-setosa
51,Biscoe,7,3.2,4.7,1.4,Iris-versicolor
52,Biscoe,6.4,3.2,NA,1.5,Iris-versicolor
53,Biscoe,6.9,3.1,4.9,1.5,Iris-versicolor
54,Biscoe,5.5,2.3,4,1.3,Iris-versicolor
55,Biscoe,0,2.8,4.6,1.5,Iris-versicolor
56,Biscoe,5.7,2.8,4.5,1.3,Iris-versicolor
57,Biscoe,6.3,3.3,4.7,1.6,Iris-versicolor
58,Biscoe,4.9,2.4,3.3,1,Iris-versicolor
59,Biscoe,6.6,2.9,4.6,1.3,Iris-versicolor
60,Biscoe,5.2,2.7,3.9,1.4,Iris-versicolor
61,Biscoe,5,2,3.5,1,Iris-versicolor
62,Biscoe,5.9,3,4.2,1.5,Iris-versicolor
63,Biscoe,6,2.2,4,1,Iris-versicolor
64,Biscoe,6.1,2.9,4.7,1.4,Iris-versicolor
65,Biscoe,5.6,2.9,3.6,1.3,Iris-versicolor
66,Biscoe,6.7,3.1,4.4,1.4,Iris-versicolor
67,Biscoe,5.6,3,4.5,1.5,Iris-versicolor
68,Biscoe,5.8,2.7,4.1,1,Iris-versicolor
69,Biscoe,6.2,2.2,4.5,1.5,Iris-versicolor
70,Biscoe,5.6,2.5,3.9,1.1,Iris-versicolor
71,Biscoe,5.9,3.2,4.8,1.8,Iris-versicolor
72,Biscoe,6.1,2.8,4,1.3,Iris-versicolor
73,Biscoe,6.3,2.5,4.9,1.5,Iris-versicolor
74,Biscoe,6.1,2.8,4.7,1.2,Iris-versicolor
75,Biscoe,6.4,2.9,4.3,1.3,Iris-versicolor
76,Biscoe,6.6,3,4.4,1.4,Iris-versicolor
77,Biscoe,6.8,2.8,4.8,1.4,Iris-versicolor
78,Biscoe,6.7,3,5,1.7,Iris-versicolor
79,Biscoe,6,2.9,4.5,1.5,Iris-versicolor
80,Biscoe,5.7,2.6,3.5,1,Iris-versicolor
81,Biscoe,5.5,2.4,3.8,1.1,Iris-versicolor
82,Biscoe,5.5,2.4,3.7,1,Iris-versicolor
83,Biscoe,5.8,2.7,3.9,1.2,Iris-versicolor
84,Biscoe,6,2.7,5.1,1.6,Iris-versicolor
85,Biscoe,5.4,3,4.5,1.5,Iris-versicolor
86,Biscoe,6,3.4,4.5,1.6,Iris-versicolor
87,Biscoe,6.7,3.1,4.7,1.5,Iris-versicolor
88,Biscoe,6.3,2.3,4.4,1.3,Iris-versicolor
89,Biscoe,5.6,3,4.1,1.3,Iris-versicolor
90,Biscoe,5.5,2.5,4,1.3,Iris-versicolor
91,Biscoe,NA,2.6,4.4,1.2,Iris-versicolor
92,Biscoe,6.1,3,4.6,1.4,Iris-versicolor
93,Biscoe,5.8,2.6,4,1.2,Iris-versicolor
94,Biscoe,5,2.3,3.3,1,Iris-versicolor
95,Biscoe,5.6,2.7,4.2,1.3,Iris-versicolor
96,Biscoe,5.7,3,4.2,1.2,Iris-versicolor
97,Biscoe,5.7,2.9,4.2,1.3,Iris-versicolor
98,Biscoe,6.2,2.9,4.3,1.3,Iris-versicolor
99,Biscoe,5.1,2.5,3,1.1,Iris-versicolor
100,Biscoe,5.7,2.8,4.1,1.3,Iris-versicolor
